Baby,Time,Duration(minutes),Note
Isla,"2020-04-25, 1:12 AM",0
Isla,"2020-04-24, 10:26 PM",56
Isla,"2020-04-24, 9:16 PM",26
Isla,"2020-04-24, 7:30 PM",35
Isla,"2020-04-24, 3:15 PM",214
Isla,"2020-04-24, 12:30 PM",77
Isla,"2020-04-24, 8:50 AM",138
Isla,"2020-04-24, 4:15 AM",197
Isla,"2020-04-23, 11:49 PM",205
Isla,"2020-04-23, 8:22 PM",48
Isla,"2020-04-23, 7:36 PM",5
Isla,"2020-04-23, 3:00 PM",160
Isla,"2020-04-23, 1:02 PM",56
Isla,"2020-04-23, 10:26 AM",29
Isla,"2020-04-23, 5:22 AM",163
Isla,"2020-04-23, 12:10 AM",241
Isla,"2020-04-22, 6:30 PM",190
Isla,"2020-04-22, 3:40 PM",59
Isla,"2020-04-22, 12:32 PM",41
Isla,"2020-04-22, 10:45 AM",45
Isla,"2020-04-22, 10:40 AM",0
Isla,"2020-04-22, 6:20 AM",155
Isla,"2020-04-22, 4:35 AM",62
Isla,"2020-04-22, 3:00 AM",76
Isla,"2020-04-21, 10:38 PM",192
Isla,"2020-04-21, 8:32 PM",67
Isla,"2020-04-21, 6:57 PM",55
Isla,"2020-04-21, 6:15 PM",5
Isla,"2020-04-21, 4:50 PM",36
Isla,"2020-04-21, 12:12 PM",87
Isla,"2020-04-21, 9:16 AM",107
Isla,"2020-04-21, 4:39 AM",177
Isla,"2020-04-21, 1:19 AM",151
Isla,"2020-04-20, 10:39 PM",72
Isla,"2020-04-20, 7:55 PM",58
Isla,"2020-04-20, 6:50 PM",9
Isla,"2020-04-20, 4:38 PM",97
Isla,"2020-04-20, 11:15 AM",97
Isla,"2020-04-20, 7:55 AM",111
Isla,"2020-04-20, 3:30 AM",170
Isla,"2020-04-19, 11:00 PM",203
Isla,"2020-04-19, 5:42 PM",132
Isla,"2020-04-19, 2:51 PM",124
Isla,"2020-04-19, 12:22 PM",98
Isla,"2020-04-19, 7:56 AM",187
Isla,"2020-04-19, 4:22 AM",167
Isla,"2020-04-19, 12:43 AM",166
Isla,"2020-04-18, 10:14 PM",105
Isla,"2020-04-18, 7:28 PM",75
Isla,"2020-04-18, 5:15 PM",44
Isla,"2020-04-18, 1:22 PM",110
Isla,"2020-04-18, 10:51 AM",98
Isla,"2020-04-18, 6:56 AM",141
Isla,"2020-04-18, 12:45 AM",292
Isla,"2020-04-17, 10:28 PM",51
Isla,"2020-04-17, 7:30 PM",56
